,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
53,mobileOG_000335061|alkB|WP_000884957.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_181815-193458_ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_160_8 # 6720 # 7370 # -1 # ID=148_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.524,99.5,455.0,216,5.889999999999998e-165,217,1,216,1,216,mobileOG_000335061,alkB,WP_000884957.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_181815-193458_ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_160_8, 6720 # 7370 # -1 , 6720,7370,-1 ,148_8,148,8,00,ATG,AGGAG,5-10bp,0.524,ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_181815-193458_ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_160,mobileOG_000335061_ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_181815-193458_ratio3_Esch_coli_TUM20902_NODE_2_length_235896_cov_59.144568_160
54,mobileOG_000002433|dinI|WP_001217754.1|replication/recombination/repair|NA|Multiple|Manual,ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_101773-112981_ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_107_4 # 2125 # 2370 # -1 # ID=150_4;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.480,100.0,162.0,81,3.9799999999999997e-53,82,1,81,1,81,mobileOG_000002433,dinI,WP_001217754.1,replication/recombination/repair,NA,Multiple,Manual,ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_101773-112981_ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_107_4, 2125 # 2370 # -1 , 2125,2370,-1 ,150_4,150,4,00,ATG,AGxAGG/AGGxGG,5-10bp,0.480,ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_101773-112981_ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_107,mobileOG_000002433_ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_101773-112981_ratio3_Esch_coli_TUM20902_NODE_4_length_189730_cov_60.708918_107
55,mobileOG_000026116|priC|F0JM94|replication/recombination/repair|NA|Plasmid RefSeq|Manual,ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_33469-44662_ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_25_1 # 2 # 505 # 1 # ID=151_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.597,95.8,303.0,175,4.479999999999999e-106,168,9,175,1,167,mobileOG_000026116,priC,F0JM94,replication/recombination/repair,NA,Plasmid RefSeq,Manual,ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_33469-44662_ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_25_1, 2 # 505 # 1 , 2,505,1 ,151_1,151,1,10,Edge,None,None,0.597,ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_33469-44662_ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_25,mobileOG_000026116_ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_33469-44662_ratio3_Esch_coli_TUM20902_NODE_6_length_169711_cov_61.025057_25
56,mobileOG_000352862|seqA|WP_000848387.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_68342-79019_ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_72_4 # 1979 # 2524 # 1 # ID=159_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500,100.0,353.0,181,1.0399999999999997e-125,182,1,181,1,181,mobileOG_000352862,seqA,WP_000848387.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_68342-79019_ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_72_4, 1979 # 2524 # 1 , 1979,2524,1 ,159_4,159,4,00,ATG,GGA/GAG/AGG,5-10bp,0.500,ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_68342-79019_ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_72,mobileOG_000352862_ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_68342-79019_ratio3_Esch_coli_TUM20902_NODE_10_length_133182_cov_60.984999_72
57,mobileOG_000304542|traG|WP_001297077.1|transfer|conjugation|Plasmid RefSeq|Homology,ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_8981-19949_ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_15_5 # 2948 # 3550 # -1 # ID=160_5;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.438,99.5,404.0,200,2.3199999999999994e-145,201,1,200,1,200,mobileOG_000304542,traG,WP_001297077.1,transfer,conjugation,Plasmid RefSeq,Homology,ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_8981-19949_ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_15_5, 2948 # 3550 # -1 , 2948,3550,-1 ,160_5,160,5,00,GTG,GGAG/GAGG,5-10bp,0.438,ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_8981-19949_ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_15,mobileOG_000304542_ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_8981-19949_ratio3_Esch_coli_TUM20902_NODE_14_length_109460_cov_61.189872_15
58,mobileOG_000330413|ecnB|ETJ37164.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11_10 # 7278 # 7424 # -1 # ID=167_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.483,100.0,88.2,48,8.370000000000002e-25,49,1,48,1,48,mobileOG_000330413,ecnB,ETJ37164.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11_10, 7278 # 7424 # -1 , 7278,7424,-1 ,167_10,167,10,00,ATG,AGGA,5-10bp,0.483,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11,mobileOG_000330413_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11
59,mobileOG_000321643|ecnB|WP_000977757.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11_11 # 7535 # 7660 # -1 # ID=167_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500,97.6,77.8,41,7.08e-21,42,1,41,1,41,mobileOG_000321643,ecnB,WP_000977757.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11_11, 7535 # 7660 # -1 , 7535,7660,-1 ,167_11,167,11,00,ATG,GGA/GAG/AGG,5-10bp,0.500,ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11,mobileOG_000321643_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_8114-19280_ratio3_Esch_coli_TUM20902_NODE_28_length_65565_cov_61.636742_11
60,"mobileOG_000025715|ihfB|WP_002898165.1|integration/excision|regulation,lysis/lysogeny|Plasmid RefSeq|Manual",ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_24609-36357_ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_23_3 # 2209 # 2493 # 1 # ID=169_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.491,97.8,187.0,95,8.879999999999998e-63,95,1,93,1,93,mobileOG_000025715,ihfB,WP_002898165.1,integration/excision,"regulation,lysis/lysogeny",Plasmid RefSeq,Manual,ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_24609-36357_ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_23_3, 2209 # 2493 # 1 , 2209,2493,1 ,169_3,169,3,00,ATG,GGAGG,3-4bp,0.491,ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_24609-36357_ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_23,mobileOG_000025715_ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_24609-36357_ratio3_Esch_coli_TUM20902_NODE_32_length_56141_cov_62.937792_23
61,mobileOG_000064204|tnpA|WP_015344976.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_1 # 1 # 2601 # -1 # ID=181_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631,100.0,1711.0,983,0.0,867,1,867,1,867,mobileOG_000064204,tnpA,WP_015344976.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_1, 1 # 2601 # -1 , 1,2601,-1 ,181_1,181,1,10,ATG,GGA/GAG/AGG,5-10bp,0.631,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7,mobileOG_000064204_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7
62,mobileOG_000001365|tnpR|P04130|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_2 # 2604 # 3164 # -1 # ID=181_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,100.0,353.0,186,1.5199999999999997e-125,187,1,186,1,186,mobileOG_000001365,tnpR,P04130,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_2, 2604 # 3164 # -1 , 2604,3164,-1 ,181_2,181,2,00,ATG,GGA/GAG/AGG,5-10bp,0.581,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7,mobileOG_000001365_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7
63,mobileOG_000001364|tnpM|P04162|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_3 # 3290 # 3640 # -1 # ID=181_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.635,100.0,250.0,116,4.109999999999999e-87,117,1,116,1,116,mobileOG_000001364,tnpM,P04162,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_3, 3290 # 3640 # -1 , 3290,3640,-1 ,181_3,181,3,00,ATG,None,None,0.635,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7,mobileOG_000001364_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7
64,mobileOG_000033487|int|WP_000845039.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_4 # 3843 # 4856 # -1 # ID=181_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612,100.0,687.0,337,8.179999999999993e-253,338,1,337,1,337,mobileOG_000033487,int,WP_000845039.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7_4, 3843 # 4856 # -1 , 3843,4856,-1 ,181_4,181,4,00,ATG,None,None,0.612,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7,mobileOG_000033487_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_1668-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_7
65,mobileOG_000064204|tnpA|WP_015344976.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_1 # 2 # 1684 # -1 # ID=182_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636,100.0,1093.0,983,0.0,561,1,561,1,561,mobileOG_000064204,tnpA,WP_015344976.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_1, 2 # 1684 # -1 , 2,1684,-1 ,182_1,182,1,10,ATG,GGA/GAG/AGG,5-10bp,0.636,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8,mobileOG_000064204_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8
66,mobileOG_000001365|tnpR|P04130|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_2 # 1687 # 2247 # -1 # ID=182_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,100.0,353.0,186,1.5199999999999997e-125,187,1,186,1,186,mobileOG_000001365,tnpR,P04130,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_2, 1687 # 2247 # -1 , 1687,2247,-1 ,182_2,182,2,00,ATG,GGA/GAG/AGG,5-10bp,0.581,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8,mobileOG_000001365_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8
67,mobileOG_000001364|tnpM|P04162|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_3 # 2373 # 2723 # -1 # ID=182_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.635,100.0,250.0,116,4.109999999999999e-87,117,1,116,1,116,mobileOG_000001364,tnpM,P04162,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_3, 2373 # 2723 # -1 , 2373,2723,-1 ,182_3,182,3,00,ATG,None,None,0.635,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8,mobileOG_000001364_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8
68,mobileOG_000033487|int|WP_000845039.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_4 # 2926 # 3939 # -1 # ID=182_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612,100.0,687.0,337,8.179999999999993e-253,338,1,337,1,337,mobileOG_000033487,int,WP_000845039.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8_4, 2926 # 3939 # -1 , 2926,3939,-1 ,182_4,182,4,00,ATG,None,None,0.612,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8,mobileOG_000033487_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_2585-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_8
69,mobileOG_000061115|tnpA|A0A0Q0Z271|integration/excision|NA|COMPASS|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_1 # 2 # 643 # -1 # ID=183_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650,100.0,417.0,271,3.2999999999999993e-149,214,1,214,1,214,mobileOG_000061115,tnpA,A0A0Q0Z271,integration/excision,NA,COMPASS,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_1, 2 # 643 # -1 , 2,643,-1 ,183_1,183,1,10,ATG,GGA/GAG/AGG,5-10bp,0.650,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9,mobileOG_000061115_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9
70,mobileOG_000001365|tnpR|P04130|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_2 # 646 # 1206 # -1 # ID=183_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,100.0,353.0,186,1.5199999999999997e-125,187,1,186,1,186,mobileOG_000001365,tnpR,P04130,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_2, 646 # 1206 # -1 , 646,1206,-1 ,183_2,183,2,00,ATG,GGA/GAG/AGG,5-10bp,0.581,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9,mobileOG_000001365_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9
71,mobileOG_000001702|tnpM|P04162|integration/excision|NA|Multiple|Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_3 # 1332 # 1832 # -1 # ID=183_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.633,99.4,340.0,194,9.579999999999998e-121,167,29,194,1,166,mobileOG_000001702,tnpM,P04162,integration/excision,NA,Multiple,Manual,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_3, 1332 # 1832 # -1 , 1332,1832,-1 ,183_3,183,3,00,GTG,GGA/GAG/AGG,5-10bp,0.633,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9,mobileOG_000001702_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9
72,mobileOG_000033487|int|WP_000845039.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_4 # 1885 # 2898 # -1 # ID=183_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612,100.0,687.0,337,8.179999999999993e-253,338,1,337,1,337,mobileOG_000033487,int,WP_000845039.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9_4, 1885 # 2898 # -1 , 1885,2898,-1 ,183_4,183,4,00,ATG,None,None,0.612,ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9,mobileOG_000033487_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_3626-10018_ratio3_unmapped_NODE_28_length_10018_cov_9.281843_9
73,mobileOG_000059551|tnpA|WP_012478345.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3_2 # 742 # 1665 # 1 # ID=184_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.430,100.0,605.0,307,2.339999999999999e-221,308,1,307,1,307,mobileOG_000059551,tnpA,WP_012478345.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3_2, 742 # 1665 # 1 , 742,1665,1 ,184_2,184,2,00,ATG,GGA/GAG/AGG,5-10bp,0.430,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3,mobileOG_000059551_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3
74,mobileOG_000059553|NGR_a00240|WP_000125669.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3_5 # 4307 # 5713 # -1 # ID=184_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510,99.8,922.0,468,0.0,469,1,468,1,468,mobileOG_000059553,NGR_a00240,WP_000125669.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3_5, 4307 # 5713 # -1 , 4307,5713,-1 ,184_5,184,5,00,ATG,AGGA,5-10bp,0.510,ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3,mobileOG_000059553_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_1-5903_ratio3_unmapped_NODE_69_length_5903_cov_7.409884_3
75,mobileOG_000269840|tnpA|WP_001398206.1|integration/excision|NA|ICE|Homology,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5_1 # 2 # 2797 # 1 # ID=187_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.518,100.0,1837.0,1044,0.0,932,114,1044,1,931,mobileOG_000269840,tnpA,WP_001398206.1,integration/excision,NA,ICE,Homology,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5_1, 2 # 2797 # 1 , 2,2797,1 ,187_1,187,1,10,Edge,None,None,0.518,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5,mobileOG_000269840_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5
76,mobileOG_000056778|insC1|WP_001459498.1|integration/excision|NA|COMPASS|Homology,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5_3 # 3691 # 3882 # -1 # ID=187_3;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.479,100.0,127.0,63,4.32e-40,64,1,63,1,63,mobileOG_000056778,insC1,WP_001459498.1,integration/excision,NA,COMPASS,Homology,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5_3, 3691 # 3882 # -1 , 3691,3882,-1 ,187_3,187,3,00,ATG,4Base/6BMM,13-15bp,0.479,ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5,mobileOG_000056778_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_1-5037_ratio3_unmapped_NODE_92_length_5037_cov_57.118226_5
77,mobileOG_000037312|tnpR|WP_001235713.1|integration/excision|NA|Multiple|Homology,ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1-3981_ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1_4 # 2997 # 3554 # -1 # ID=188_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523,100.0,348.0,185,1.3499999999999997e-123,186,1,185,1,185,mobileOG_000037312,tnpR,WP_001235713.1,integration/excision,NA,Multiple,Homology,ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1-3981_ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1_4, 2997 # 3554 # -1 , 2997,3554,-1 ,188_4,188,4,00,ATG,GGA/GAG/AGG,5-10bp,0.523,ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1-3981_ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1,mobileOG_000037312_ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1-3981_ratio3_unmapped_NODE_127_length_3981_cov_6.802089_1
