cds,sample,ref,ARG,mobility,size,cluster
C1033_Esch_coli_NCTC9087_NODE_50_length_28270_cov_32.216162_23,C1033,Esch_coli_NCTC9087,gb|AAC75137.1|ARO:3000794|mdtC,non-mobile,11669,Cluster 1863
C1033_Esch_coli_NCTC9087_NODE_50_length_28270_cov_32.216162_24,C1033,Esch_coli_NCTC9087,gb|AAC75136.1|ARO:3000793|mdtB,non-mobile,8591,Cluster 650
C1033_Esch_coli_NCTC9087_NODE_50_length_28270_cov_32.216162_25,C1033,Esch_coli_NCTC9087,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,5469,Cluster 5599
C1033_Esch_coli_NCTC9087_NODE_57_length_25549_cov_37.132227_2,C1033,Esch_coli_NCTC9087,gb|AAC75314.1|ARO:3003578|PmrF,mobile,7839,Cluster 10235
C1033_Esch_coli_NCTC9087_NODE_59_length_25096_cov_34.661555_7,C1033,Esch_coli_NCTC9087,gb|BAB35162.1|ARO:3000676|H-NS,mobile,10413,Cluster 17810
C1033_Esch_coli_NCTC9087_NODE_63_length_24424_cov_38.317822_2,C1033,Esch_coli_NCTC9087,gb|AAC75271.1|ARO:3003952|YojI,mobile,7063,Cluster 3694
C1033_Esch_coli_NCTC9087_NODE_74_length_17734_cov_33.459528_1,C1033,Esch_coli_NCTC9087,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,5921,Cluster 10620
C1033_Esch_coli_NCTC9087_NODE_75_length_16738_cov_26.584907_14,C1033,Esch_coli_NCTC9087,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,11157,Cluster 8678
C1033_Esch_coli_NCTC9087_NODE_75_length_16738_cov_26.584907_15,C1033,Esch_coli_NCTC9087,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,10845,Cluster 953
C1033_Esch_coli_NCTC9087_NODE_75_length_16738_cov_26.584907_17,C1033,Esch_coli_NCTC9087,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,7369,Cluster 12395
C1033_Esch_coli_NCTC9087_NODE_75_length_16738_cov_26.584907_18,C1033,Esch_coli_NCTC9087,gb|BAE77778.1|ARO:3000508|gadX,non-mobile,6273,Cluster 11055
C1033_Esch_coli_NCTC9087_NODE_81_length_14385_cov_34.691417_6,C1033,Esch_coli_NCTC9087,gb|AAC73788.1|ARO:3003841|kdpE,non-mobile,10677,Cluster 13202
C1033_Esch_coli_SC475_NODE_10_length_48603_cov_24.974129_34,C1033,Esch_coli_SC475,gb|AAC76093.1|ARO:3002986|bacA,mobile,10821,Cluster 11485
C1033_Esch_coli_SC475_NODE_107_length_13129_cov_38.582454_8,C1033,Esch_coli_SC475,gb|ACN32294.1|ARO:3000237|TolC,mobile,11481,Cluster 4762
C1033_Esch_coli_SC475_NODE_113_length_12421_cov_60.397865_8,C1033,Esch_coli_SC475,gb|WP_063610930.1|ARO:3006876|EC-15,mobile,9366,Cluster 8209
C1033_Esch_coli_SC475_NODE_12_length_46884_cov_23.637127_18,C1033,Esch_coli_SC475,gb|BAA16344.1|ARO:3000491|acrD,non-mobile,13113,Cluster 968
C1033_Esch_coli_SC475_NODE_122_length_10962_cov_17.796553_10,C1033,Esch_coli_SC475,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,9394,Cluster 958
C1033_Esch_coli_SC475_NODE_122_length_10962_cov_17.796553_12,C1033,Esch_coli_SC475,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,5918,Cluster 12396
C1033_Esch_coli_SC475_NODE_122_length_10962_cov_17.796553_9,C1033,Esch_coli_SC475,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,10576,Cluster 8684
C1033_Esch_coli_SC475_NODE_127_length_10282_cov_17.730419_8,C1033,Esch_coli_SC475,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,non-mobile,9312,Cluster 6523
C1033_Esch_coli_SC475_NODE_142_length_9347_cov_19.513130_10,C1033,Esch_coli_SC475,gb|ABV18113.1|ARO:3001329|mdtG,non-mobile,7363,Cluster 7036
C1033_Esch_coli_SC475_NODE_164_length_7714_cov_16.433999_1,C1033,Esch_coli_SC475,gb|AAC75429.1|ARO:3000833|evgS,non-mobile,5904,Cluster 1
C1033_Esch_coli_SC475_NODE_211_length_5829_cov_55.914964_1,C1033,Esch_coli_SC475,gb|AAC77293.1|ARO:3001214|mdtM,non-mobile,5828,Cluster 6713
C1033_Esch_coli_SC475_NODE_212_length_5737_cov_6.440690_8,C1033,Esch_coli_SC475,gb|BAA15221.2|ARO:3000263|marA,non-mobile,5631,Cluster 18693
C1033_Esch_coli_SC475_NODE_224_length_5179_cov_16.347775_6,C1033,Esch_coli_SC475,gb|BAA11237.1|ARO:3000254|emrY,non-mobile,5178,Cluster 4284
C1033_Esch_coli_SC475_NODE_247_length_4306_cov_10.463420_1,C1033,Esch_coli_SC475,gb|BAE78083.1|ARO:3003549|mdtO,not known,4305,Cluster 2788
C1033_Esch_coli_SC475_NODE_247_length_4306_cov_10.463420_2,C1033,Esch_coli_SC475,gb|BAE78084.1|ARO:3003548|mdtN,not known,4305,Cluster 9706
C1033_Esch_coli_SC475_NODE_27_length_30518_cov_18.966550_26,C1033,Esch_coli_SC475,gb|AAC75731.1|ARO:3000516|emrR,non-mobile,10530,Cluster 15398
C1033_Esch_coli_SC475_NODE_27_length_30518_cov_18.966550_27,C1033,Esch_coli_SC475,gb|BAA16547.1|ARO:3000027|emrA,non-mobile,11172,Cluster 7894
C1033_Esch_coli_SC475_NODE_27_length_30518_cov_18.966550_28,C1033,Esch_coli_SC475,gb|AAC75733.1|ARO:3000074|emrB,non-mobile,10210,Cluster 4349
C1033_Esch_coli_SC475_NODE_275_length_3194_cov_25.806710_1,C1033,Esch_coli_SC475,gb|AAC73564.1|ARO:3000216|acrB,not known,3193,Cluster 447
C1033_Esch_coli_SC475_NODE_276_length_3181_cov_10.839731_1,C1033,Esch_coli_SC475,gb|BAB36671.1|ARO:3000832|evgA,not known,3180,Cluster 16275
C1033_Esch_coli_SC475_NODE_276_length_3181_cov_10.839731_2,C1033,Esch_coli_SC475,gb|AAC75429.1|ARO:3000833|evgS,not known,3180,Cluster 2420
C1033_Esch_coli_SC475_NODE_288_length_3011_cov_6.194181_2,C1033,Esch_coli_SC475,gb|AAC73788.1|ARO:3003841|kdpE,not known,3010,Cluster 13249
C1033_Esch_coli_SC475_NODE_299_length_2784_cov_6.895933_1,C1033,Esch_coli_SC475,gb|BAA11237.1|ARO:3000254|emrY,not known,2783,Cluster 4284
C1033_Esch_coli_SC475_NODE_299_length_2784_cov_6.895933_2,C1033,Esch_coli_SC475,gb|BAA11236.1|ARO:3000206|emrK,not known,2783,Cluster 8479
C1033_Esch_coli_SC475_NODE_299_length_2784_cov_6.895933_3,C1033,Esch_coli_SC475,gb|BAB36671.1|ARO:3000832|evgA,not known,2783,Cluster 31988
C1033_Esch_coli_SC475_NODE_311_length_2549_cov_63.618685_3,C1033,Esch_coli_SC475,gb|AAC73565.1|ARO:3004043|Ecol_acrA,not known,2548,Cluster 7602
C1033_Esch_coli_SC475_NODE_33_length_27621_cov_29.310165_25,C1033,Esch_coli_SC475,gb|BAB38260.1|ARO:3000830|cpxA,non-mobile,10155,Cluster 5641
C1033_Esch_coli_SC475_NODE_376_length_1495_cov_8.604167_2,C1033,Esch_coli_SC475,gb|BAE77778.1|ARO:3000508|gadX,not known,1494,Cluster 11159
C1033_Esch_coli_SC475_NODE_42_length_25729_cov_51.014840_7,C1033,Esch_coli_SC475,gb|BAE78116.1|ARO:3003576|eptA,non-mobile,11643,Cluster 3786
C1033_Esch_coli_SC475_NODE_442_length_901_cov_10.252955_1,C1033,Esch_coli_SC475,gb|AAC75089.1|ARO:3003577|ugd,not known,900,Cluster 10747
C1033_Esch_coli_SC475_NODE_445_length_889_cov_5.058753_2,C1033,Esch_coli_SC475,gb|AAC75089.1|ARO:3003577|ugd,not known,888,Cluster 8210
C1033_Esch_coli_SC475_NODE_5_length_76350_cov_19.820578_45,C1033,Esch_coli_SC475,gb|AAC75271.1|ARO:3003952|YojI,mobile,11643,Cluster 3704
C1033_Esch_coli_SC475_NODE_51_length_22154_cov_24.931626_17,C1033,Esch_coli_SC475,gb|BAB35162.1|ARO:3000676|H-NS,mobile,10413,Cluster 17845
C1033_Esch_coli_SC475_NODE_514_length_537_cov_92.925311_1,C1033,Esch_coli_SC475,gb|AAC73565.1|ARO:3004043|Ecol_acrA,not known,536,Cluster 21993
C1033_Esch_coli_SC475_NODE_514_length_537_cov_92.925311_2,C1033,Esch_coli_SC475,gb|AAC73564.1|ARO:3000216|acrB,not known,536,Cluster 280
C1033_Esch_coli_SC475_NODE_55_length_21625_cov_26.889105_7,C1033,Esch_coli_SC475,gb|AAC74000.1|ARO:3003950|msbA,mobile,11539,Cluster 3329
C1033_Esch_coli_SC475_NODE_6_length_69264_cov_31.813695_53,C1033,Esch_coli_SC475,gb|BAE77933.1|ARO:3000518|CRP,non-mobile,10632,Cluster 13945
C1033_Esch_coli_SC475_NODE_64_length_19753_cov_24.402122_11,C1033,Esch_coli_SC475,gb|AAC76296.1|ARO:3000656|AcrS,mobile,10662,Cluster 13519
C1033_Esch_coli_SC475_NODE_64_length_19753_cov_24.402122_12,C1033,Esch_coli_SC475,gb|AAC76297.1|ARO:3000499|AcrE,mobile,11157,Cluster 8764
C1033_Esch_coli_SC475_NODE_64_length_19753_cov_24.402122_13,C1033,Esch_coli_SC475,gb|AAC76298.1|ARO:3000502|AcrF,mobile,13104,Cluster 1627
C1033_Esch_coli_SC475_NODE_650_length_302_cov_5.437247_1,C1033,Esch_coli_SC475,gb|AAC75089.1|ARO:3003577|ugd,not known,301,Cluster 8210
C1033_Esch_coli_SC475_NODE_73_length_17624_cov_16.504127_17,C1033,Esch_coli_SC475,gb|AAC75314.1|ARO:3003578|PmrF,non-mobile,7098,Cluster 10237
C1033_Esch_coli_SC475_NODE_76_length_17369_cov_28.450502_15,C1033,Esch_coli_SC475,gb|BAE78082.1|ARO:3003550|mdtP,non-mobile,8168,Cluster 5008
C1033_Esch_coli_SC475_NODE_76_length_17369_cov_28.450502_16,C1033,Esch_coli_SC475,gb|BAE78083.1|ARO:3003549|mdtO,non-mobile,6705,Cluster 2811
C1033_Esch_coli_SC475_NODE_78_length_16583_cov_21.540598_4,C1033,Esch_coli_SC475,gb|AAC74149.2|ARO:3001216|mdtH,non-mobile,7913,Cluster 7286
C1033_Esch_coli_SC475_NODE_91_length_14603_cov_17.237971_10,C1033,Esch_coli_SC475,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,6855,Cluster 5958
C1033_Esch_coli_SC475_NODE_91_length_14603_cov_17.237971_5,C1033,Esch_coli_SC475,gb|BAA15935.1|ARO:3000828|baeR,non-mobile,8734,Cluster 12599
C1033_Esch_coli_SC475_NODE_91_length_14603_cov_17.237971_6,C1033,Esch_coli_SC475,gb|BAA15934.1|ARO:3000829|baeS,non-mobile,10134,Cluster 5369
C1033_Esch_coli_SC475_NODE_91_length_14603_cov_17.237971_8,C1033,Esch_coli_SC475,gb|AAC75137.1|ARO:3000794|mdtC,non-mobile,13055,Cluster 1931
C1033_Esch_coli_SC475_NODE_91_length_14603_cov_17.237971_9,C1033,Esch_coli_SC475,gb|AAC75136.1|ARO:3000793|mdtB,non-mobile,9977,Cluster 651
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_1_length_337680_cov_93.099385_75,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA15221.2|ARO:3000263|marA,non-mobile,10383,Cluster 18705
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_10_length_115463_cov_133.076754_93,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE77778.1|ARO:3000508|gadX,non-mobile,10824,Cluster 11313
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_10_length_115463_cov_133.076754_94,C1033,Esch_coli_WP8-S18-ESBL-07,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,10728,Cluster 12342
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_10_length_115463_cov_133.076754_96,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,10083,Cluster 1063
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_10_length_115463_cov_133.076754_97,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,6945,Cluster 8724
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_11_length_109510_cov_107.700717_100,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75429.1|ARO:3000833|evgS,non-mobile,13593,Cluster 46
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_11_length_109510_cov_107.700717_97,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA11237.1|ARO:3000254|emrY,non-mobile,11538,Cluster 4297
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_11_length_109510_cov_107.700717_98,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA11236.1|ARO:3000206|emrK,non-mobile,11163,Cluster 8503
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_11_length_109510_cov_107.700717_99,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAB36671.1|ARO:3000832|evgA,non-mobile,10614,Cluster 14276
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_12_length_107985_cov_130.358047_71,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA16344.1|ARO:3000491|acrD,non-mobile,13113,Cluster 1108
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_13_length_107441_cov_139.951018_40,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAB38260.1|ARO:3000830|cpxA,non-mobile,11373,Cluster 5667
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_152_length_1111_cov_66.327652_2,C1033,Esch_coli_WP8-S18-ESBL-07,gb|ACN32294.1|ARO:3000237|TolC,not known,1110,Cluster 4770
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_16_length_92593_cov_90.357237_33,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75089.1|ARO:3003577|ugd,non-mobile,11166,Cluster 8164
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_17_length_89240_cov_111.651253_46,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,non-mobile,11232,Cluster 6660
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_2_length_241643_cov_130.154855_81,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC73565.1|ARO:3004043|Ecol_acrA,mobile,11193,Cluster 7601
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_2_length_241643_cov_130.154855_82,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC73564.1|ARO:3000216|acrB,non-mobile,13149,Cluster 341
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_218_length_601_cov_91.112805_1,C1033,Esch_coli_WP8-S18-ESBL-07,gb|ACN32294.1|ARO:3000237|TolC,not known,600,Cluster 31202
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_23_length_66149_cov_120.997095_8,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75314.1|ARO:3003578|PmrF,mobile,10968,Cluster 10253
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_29_length_56140_cov_114.140875_23,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC74000.1|ARO:3003950|msbA,mobile,11748,Cluster 3337
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_3_length_226995_cov_130.873724_66,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE77933.1|ARO:3000518|CRP,non-mobile,10632,Cluster 13960
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_35_length_43349_cov_126.006514_21,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC73788.1|ARO:3003841|kdpE,mobile,10677,Cluster 13231
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_367_length_278_cov_9.215247_1,C1033,Esch_coli_WP8-S18-ESBL-07,gb|ACN32294.1|ARO:3000237|TolC,not known,277,Cluster 4801
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_38_length_40314_cov_119.640602_6,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75733.1|ARO:3000074|emrB,non-mobile,10208,Cluster 4296
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_38_length_40314_cov_119.640602_7,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA16547.1|ARO:3000027|emrA,non-mobile,11172,Cluster 7905
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_38_length_40314_cov_119.640602_8,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75731.1|ARO:3000516|emrR,non-mobile,10530,Cluster 15312
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_39_length_38654_cov_132.970388_10,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC76296.1|ARO:3000656|AcrS,mobile,10662,Cluster 13506
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_39_length_38654_cov_132.970388_8,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC76298.1|ARO:3000502|AcrF,mobile,13104,Cluster 1595
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_39_length_38654_cov_132.970388_9,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC76297.1|ARO:3000499|AcrE,mobile,11157,Cluster 8717
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_133,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75271.1|ARO:3003952|YojI,mobile,11643,Cluster 3736
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_2,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,6847,Cluster 5926
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_3,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75136.1|ARO:3000793|mdtB,non-mobile,9969,Cluster 604
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_4,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC75137.1|ARO:3000794|mdtC,non-mobile,13047,Cluster 1880
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_6,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA15934.1|ARO:3000829|baeS,non-mobile,11403,Cluster 5388
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_4_length_210831_cov_116.339944_7,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAA15935.1|ARO:3000828|baeR,non-mobile,10722,Cluster 12553
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_418_length_246_cov_3.382199_1,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC77110.1|ARO:3004290|Ecol_ampC_BLA,not known,245,Cluster 8112
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_50_length_16340_cov_130.119619_18,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC77293.1|ARO:3001214|mdtM,non-mobile,6451,Cluster 6659
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_52_length_15873_cov_117.920660_6,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE78116.1|ARO:3003576|eptA,non-mobile,11643,Cluster 3787
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_6_length_161026_cov_102.154133_73,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAB35162.1|ARO:3000676|H-NS,non-mobile,10413,Cluster 16560
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_66_length_5837_cov_88.671048_1,C1033,Esch_coli_WP8-S18-ESBL-07,gb|WP_063860454.1|ARO:3006881|EC-8,non-mobile,5547,Cluster 8149
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_8_length_124145_cov_104.165082_87,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC74149.2|ARO:3001216|mdtH,mobile,11208,Cluster 7307
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_8_length_124145_cov_104.165082_99,C1033,Esch_coli_WP8-S18-ESBL-07,gb|ABV18113.1|ARO:3001329|mdtG,non-mobile,11226,Cluster 7030
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_80_length_3438_cov_122.276382_1,C1033,Esch_coli_WP8-S18-ESBL-07,gb|AAC76093.1|ARO:3002986|bacA,not known,3437,Cluster 11504
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_9_length_116345_cov_136.236220_26,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE78084.1|ARO:3003548|mdtN,non-mobile,11031,Cluster 9730
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_9_length_116345_cov_136.236220_27,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE78083.1|ARO:3003549|mdtO,non-mobile,12051,Cluster 2797
C1033_Esch_coli_WP8-S18-ESBL-07_NODE_9_length_116345_cov_136.236220_28,C1033,Esch_coli_WP8-S18-ESBL-07,gb|BAE78082.1|ARO:3003550|mdtP,non-mobile,11466,Cluster 5030
C1033_unmapped_NODE_1025_length_1145_cov_20.054128_1,C1033,unmapped,gb|AAC76296.1|ARO:3000656|AcrS,not known,1144,Cluster 13506
C1033_unmapped_NODE_106_length_10601_cov_107.629054_11,C1033,unmapped,gb|BAC67143.1|ARO:3000166|tet(B),mobile,9678,Cluster 7210
C1033_unmapped_NODE_1113_length_1009_cov_2.348008_1,C1033,unmapped,gb|AAA88548.1|ARO:3002597|AAC6_Ie_APH2_Ia,not known,1008,Cluster 10039
C1033_unmapped_NODE_1171_length_948_cov_10.864502_1,C1033,unmapped,gb|AAB63533.1|ARO:3002556|AAC(6')-Ii,not known,947,Cluster 15128
C1033_unmapped_NODE_1216_length_906_cov_3.085781_1,C1033,unmapped,gb|AAF86219.1|ARO:3000375|ErmB,not known,905,Cluster 12315
C1033_unmapped_NODE_1274_length_849_cov_1.926952_1,C1033,unmapped,gb|BAE78083.1|ARO:3003549|mdtO,not known,848,Cluster 17092
C1033_unmapped_NODE_1274_length_849_cov_1.926952_2,C1033,unmapped,gb|BAE78083.1|ARO:3003549|mdtO,not known,848,Cluster 18542
C1033_unmapped_NODE_147_length_8555_cov_16.643294_1,C1033,unmapped,gb|CAA77936.1|ARO:3004039|Ecol_emrE,non-mobile,5286,Cluster 18355
C1033_unmapped_NODE_1548_length_621_cov_3.567138_1,C1033,unmapped,gb|BAE78083.1|ARO:3003549|mdtO,not known,620,Cluster 14239
C1033_unmapped_NODE_1582_length_608_cov_2.059675_1,C1033,unmapped,gb|AAC73565.1|ARO:3004043|Ecol_acrA,not known,607,Cluster 14452
C1033_unmapped_NODE_1626_length_583_cov_3.839015_1,C1033,unmapped,gb|AAC75136.1|ARO:3000793|mdtB,not known,582,Cluster 14749
C1033_unmapped_NODE_1885_length_492_cov_1.965675_1,C1033,unmapped,gb|AAC73565.1|ARO:3004043|Ecol_acrA,not known,491,Cluster 16219
C1033_unmapped_NODE_1993_length_465_cov_0.763415_1,C1033,unmapped,gb|AAC75314.1|ARO:3003578|PmrF,not known,464,Cluster 16742
C1033_unmapped_NODE_2144_length_435_cov_3.023684_1,C1033,unmapped,gb|BAB38260.1|ARO:3000830|cpxA,not known,434,Cluster 5663
C1033_unmapped_NODE_2201_length_424_cov_0.897019_1,C1033,unmapped,gb|AAC76539.1|ARO:3000796|mdtF,not known,423,Cluster 25589
C1033_unmapped_NODE_2232_length_419_cov_1.090659_1,C1033,unmapped,gb|AAC76298.1|ARO:3000502|AcrF,not known,418,Cluster 17781
C1033_unmapped_NODE_229_length_5690_cov_16.016859_4,C1033,unmapped,gb|AAK01167.1|ARO:3002819|msrC,non-mobile,5689,Cluster 4960
C1033_unmapped_NODE_2316_length_405_cov_1.034286_1,C1033,unmapped,gb|BAE78082.1|ARO:3003550|mdtP,not known,404,Cluster 18227
C1033_unmapped_NODE_2335_length_402_cov_1.463977_1,C1033,unmapped,gb|BAE77933.1|ARO:3000518|CRP,not known,401,Cluster 31790
C1033_unmapped_NODE_241_length_5472_cov_48.558796_3,C1033,unmapped,gb|WP_063860454.1|ARO:3006881|EC-8,mobile,5471,Cluster 8149
C1033_unmapped_NODE_2425_length_388_cov_1.720721_1,C1033,unmapped,gb|AAC74149.2|ARO:3001216|mdtH,not known,387,Cluster 18617
C1033_unmapped_NODE_25_length_18851_cov_173.508034_11,C1033,unmapped,gb|AAN06707.1|ARO:3000165|tet(A),mobile,11199,Cluster 7544
C1033_unmapped_NODE_252_length_5246_cov_23.394336_6,C1033,unmapped,gb|AAC77293.1|ARO:3001214|mdtM,non-mobile,5245,Cluster 7810
C1033_unmapped_NODE_2657_length_362_cov_1.338762_1,C1033,unmapped,gb|BAE78083.1|ARO:3003549|mdtO,not known,361,Cluster 19615
C1033_unmapped_NODE_2679_length_360_cov_1.524590_2,C1033,unmapped,gb|BAA15221.2|ARO:3000263|marA,not known,359,Cluster 31123
C1033_unmapped_NODE_2681_length_360_cov_1.324590_1,C1033,unmapped,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,not known,359,Cluster 19717
C1033_unmapped_NODE_2768_length_352_cov_0.845118_1,C1033,unmapped,gb|AAC73564.1|ARO:3000216|acrB,not known,351,Cluster 22476
C1033_unmapped_NODE_2823_length_347_cov_1.393836_1,C1033,unmapped,gb|AAC75733.1|ARO:3000074|emrB,not known,346,Cluster 20153
C1033_unmapped_NODE_2920_length_341_cov_0.681818_1,C1033,unmapped,gb|BAE78082.1|ARO:3003550|mdtP,not known,340,Cluster 20421
C1033_unmapped_NODE_3052_length_330_cov_1.461818_1,C1033,unmapped,gb|AAC76539.1|ARO:3000796|mdtF,not known,329,Cluster 21014
C1033_unmapped_NODE_3245_length_315_cov_0.850000_1,C1033,unmapped,gb|AAC73788.1|ARO:3003841|kdpE,not known,314,Cluster 21590
C1033_unmapped_NODE_3317_length_309_cov_0.885827_1,C1033,unmapped,gb|AAC76539.1|ARO:3000796|mdtF,not known,308,Cluster 21994
C1033_unmapped_NODE_3327_length_308_cov_1.079051_1,C1033,unmapped,gb|BAE78116.1|ARO:3003576|eptA,not known,307,Cluster 21995
C1033_unmapped_NODE_3333_length_307_cov_2.618785_1,C1033,unmapped,gb|AAC76298.1|ARO:3000502|AcrF,not known,306,Cluster 21996
C1033_unmapped_NODE_3474_length_299_cov_0.872951_1,C1033,unmapped,gb|BAB38260.1|ARO:3000830|cpxA,not known,298,Cluster 5640
C1033_unmapped_NODE_3550_length_294_cov_2.309623_2,C1033,unmapped,gb|AAC75314.1|ARO:3003578|PmrF,not known,293,Cluster 10235
C1033_unmapped_NODE_3774_length_283_cov_0.929825_1,C1033,unmapped,gb|AAC75137.1|ARO:3000794|mdtC,not known,282,Cluster 23333
C1033_unmapped_NODE_3795_length_281_cov_1.464602_1,C1033,unmapped,gb|AAC75136.1|ARO:3000793|mdtB,not known,280,Cluster 23533
C1033_unmapped_NODE_3807_length_281_cov_0.951327_1,C1033,unmapped,gb|BAA15934.1|ARO:3000829|baeS,not known,280,Cluster 32134
C1033_unmapped_NODE_3807_length_281_cov_0.951327_2,C1033,unmapped,gb|BAA15934.1|ARO:3000829|baeS,not known,280,Cluster 5376
C1033_unmapped_NODE_3818_length_280_cov_2.555556_1,C1033,unmapped,gb|AHE40557.1|ARO:3002626|ANT(6)-Ia,not known,279,Cluster 10978
C1033_unmapped_NODE_3823_length_280_cov_1.702222_1,C1033,unmapped,gb|BAE15963.1|ARO:3002868|dfrG,not known,279,Cluster 15958
